Assessment,Livable Area
663700,2932
736900,2821
595600,2846
522800,2697
535000,2156
649400,2920
443600,1676
637600,2915
579100,2848
576000,2788
579900,2390
638300,2468
631800,2638
619300,2465
474800,1725
528200,2089
540500,1606
479300,1842
545900,2254
578600,2339
585000,2474
532100,2506
501800,1898
697300,3295
1017700,4020
754400,3049
666400,2645
618700,2408
615400,1970
634400,2418
598300,1919
696100,2415
1469100,7353
579800,2136
594500,1286
655400,2693
603000,2451
828100,3716
762400,3444
758400,3367
775300,2986
808300,3415
687400,2359
695800,2857
829400,3158
804500,3284
868800,3839
548500,2330
605300,2536
704600,3007
709400,2994
717100,2841
749100,2964
652200,2795
687600,2782
724400,3188
824700,3677
866600,3375
994900,4960
963500,3817
746300,3174
719300,2963
652200,2888
824200,3768
874600,3449
664500,3419
575800,2569
547500,1693
653800,2441
600000,2063
693800,3102
642400,2493
659900,3278
558100,1926
591700,1917
629800,2508
610900,2682
964600,3619
770800,3685
839200,3606
691200,2803
715100,2789
682400,2570
718600,2901
693600,3184
818400,3754
635700,2414
959600,4254
672500,2763
631000,2552
622300,2091
555400,2331
758500,3734
582100,2349
721700,3132
622200,2684
792300,3131
670300,2992
706500,3320
689800,2862
724500,2813
678600,3153
688500,2966
645200,2890
849800,3400
680500,2846
665300,3118
716100,2951
650100,2423
777000,3287
752300,3258
677900,3501
737500,2675
748100,2779
840400,3294
845700,3253
640000,2166
494300,2299
464500,1512
517900,2033
478400,2002
554900,2189
482600,1609
540500,2192
518700,1959
549500,2345
484600,2042
497500,1794
512100,1975
495700,1580
498600,1944
539800,2162
705600,2047
762000,3269
699100,2486
749500,3044
738900,2598
573800,1325
742600,2542
700500,2537
652100,2245
750900,2562
693100,2569
648900,2146
627900,2435
629000,2304
806600,2366
632300,2008
567900,2660
708700,2256
653100,2340
700800,2233
715500,2339
672700,2277
696600,2801
643600,2032
909500,3858
709500,2186
743600,2994
741100,2751
745300,2398
606900,1727
511400,2009
619600,2706
577400,2156
494300,1529
580500,2062
717700,4393
524400,2312
506700,1901
454200,1940
486500,1917
545700,2397
621400,2373
591700,2564
538100,2453
485200,1960
539600,2358
606500,2656
755200,4147
770600,4307
744700,3316
718700,3643
645900,3305
716400,3483
956700,4548
479100,1736
488700,1771
509400,1804
490200,1946
495000,1988
473400,1862
491800,1567
422600,1549
534500,2131
797400,3148
566000,2318
578000,2352
495100,1814
542100,1947
598000,2520
757600,3117
706400,3567
567800,2386
560800,2046
591100,2538
546600,2269
561100,2480
568000,2332
505400,1828
564100,1860
550800,2284
525000,1953
472700,1648
493100,1805
540100,2145
569500,2019
591500,2813
686900,2975
572500,2462
572800,2520
432100,1424
509700,1965
514800,2106
533600,1972
448900,1714
464800,1582
504300,1988
478100,1576
452300,1448
532700,1953
571300,2363
584300,2404
606700,2799
570000,2160
575300,2349
551400,2332
604100,2862
586100,2697
521000,2048
586800,2809
572400,2045
571800,2415
598900,2532
567200,2085
647700,2908
480700,1886
453200,1660
513300,1884
544600,1871
486700,1719
371300,1609
517200,1943
472000,1794
565000,2651
563000,1838
473900,1480
523300,1991
696000,3435
632900,2875
464000,2177
530600,2091
530800,2076
555500,2222
585900,2301
741000,3150
476800,1798
673400,2930
663500,2452
726000,3585
681100,2862
601100,2563
695000,2871
604800,2170
699900,2809
802200,3000
642200,2325
713800,2964
594000,2809
591900,1819
568700,1819
547600,1819
705900,2782
761300,4010
808800,2768
600200,2104
995100,3857
669300,3166
751700,3229
623400,2200
714600,2929
603300,2165
665600,2456
661100,2417
603000,1952
609500,2238
659300,2646
672600,2645
937600,4344
795500,3109
650300,2722
663500,2335
665300,2871
611900,2779
681600,3219
598100,2090
547800,1948
631300,2706
628700,2831
525700,1272
569700,1858
734900,2940
656900,2506
565500,1826
621800,2381
812900,3319
649400,2460
761000,3082
822100,3586
726200,3111
649600,2880
616300,2673
619800,2642
580200,2205
653300,2706
693100,2482
635400,2378
664500,2420
600500,2449
578600,2145
715900,3288
621800,2704
616500,2815
580200,2749
602700,1722
566400,1950
629300,2777
600100,2275
930800,4597
652900,2552
581800,2060
581000,1910
619000,2580
609900,2706
787500,2874
742500,2840
732800,3019
689300,2711
707800,2476
836100,3252
887900,3748
654300,2255
663400,2126
727600,2764
808200,3264
737000,2656
841500,3419
637500,2107
791800,2984
745200,2660
826500,3264
844200,3912
678600,2484
711100,2763
727300,2962
770100,2865
832300,3060
829600,2923
1008500,3851
1078800,4741
821200,3105
1073300,3840
636200,2008
1024800,3909
1020400,4035
846900,3503
1171400,5092
714000,3528
651700,2669
690900,2898
665400,2564
825700,3458
619800,2111
626200,2720
649900,2477
627900,2455
698800,2804
737100,2663
701000,2975
878500,3364
515100,1826
518400,2086
515200,1889
500300,1949
463100,1549
521600,2077
521000,2301
543000,1923
578500,2394
495700,1628
556100,1907
497500,1886
546100,2155
570900,2195
586500,2287
553700,2256
473700,1757
484700,1744
480100,1795
492600,1785
703300,3069
704900,3153
603700,2461
561900,2428
826000,3432
811200,3297
804300,3549
721400,2500
824300,2977
775700,3080
817700,3299
700200,2773
774700,3124
528700,1314
695000,2814
631600,1957
685700,2148
634700,2096
602000,2126
544100,1844
651400,2280
802200,3615
763000,3071
712200,2380
734600,2756
905900,3596
652300,1980
783100,2916
707200,2752
840700,3619
699600,2904
904500,3136
653400,2528
601700,1907
633700,2356
674700,2576
786100,3746
629300,2412
551800,2140
749200,3391
688200,3302
676700,2464
648600,3192
541100,1905
649800,2760
629900,2926
704500,3375
772300,3332
600300,2418
763700,3633
771700,3358
933300,3870
559600,2076
652600,3355
575200,2001
625700,2596
706400,2929
662800,2899
695900,3125
560100,2381
644100,2898
577300,2372
601800,2190
578000,2331
615800,2594
597300,2321
613500,3159
712100,3132
530000,2126
582100,2658
740700,3028
597300,2692
555600,2525
522400,2534
611000,2460
778000,3078
404600,2389
597700,2261
615900,2615
575400,2548
593300,2524
667200,2741
623400,2564
524400,1926
630100,2108
673300,2616
610900,2198
554900,2240
542400,2000
547000,2174
543400,2768
545000,2738
506500,2243
606300,2787
606300,2517
494300,2027
511700,1808
508700,1958
414500,1428
685300,3155
575500,2532
558400,2182
499600,1858
496500,1632
517700,1838
516900,2279
558100,1954
486000,1724
539700,2031
506200,2138
545100,2243
525600,2116
528900,2174
503600,2023
490300,1972
578400,2273
727600,2814
504000,1910
496900,2307
1007500,4351
700600,3505
762700,3234
542000,2234
918700,4179
704800,2961
652300,2992
707400,2563
906400,3993
774400,3339
668700,2851
822900,3112
640200,2908
785000,3721
804600,3874
806200,3677
642600,3056
1009600,5004
713200,3125
701700,3284
653400,2441
643500,2882
1034300,4338
651400,2568
689200,2939
822800,3784
689900,2803
674400,2489
1068000,4214
592600,1961
656200,2730
726400,3172
723900,3105
647800,2399
770600,3184
785700,3408
670900,2579
801000,3268
771800,3347
842500,3745
749900,3121
593400,1942
587000,1885
610300,2148
581800,1861
603700,3024
667400,2914
671900,2177
567300,1659
1011600,3919
788200,2880
841400,3723
694400,2756
733900,2878
808400,3160
693500,2683
755500,2892
753100,2900
653800,2356
665000,2348
831700,3464
698700,2312
883200,3362
675100,1968
674200,2259
643700,2232
609300,1952
645000,2449
658600,2257
606700,2004
551200,1676
846700,3743
743800,3108
597000,1971
571400,1942
623900,2828
1409900,4010
683600,2570
579500,1879
828600,3549
708500,2441
1406100,6812
685900,2321
834900,3496
922100,3796
836800,3550
829900,3044
1024300,3355
1042200,4881
651700,2446
699300,2535
755800,2946
643100,2840
699400,2592
730000,2938
690100,2300
678000,2674
677100,2871
676500,2479
671100,2377
716200,2899
659200,2728
684500,2862
830500,3316
656700,2167
781800,3207
695000,2855
691700,2236
865200,5609
535600,2006
584400,2354
677000,2761
642500,2197
618200,1697
769200,3309
776600,3165
718000,2690
849200,3010
605900,1811
683200,2130
874000,3670
712400,2778
653800,2504
680900,2738
811100,2911
829300,3774
652800,2480
1052800,4242
681500,2264
837800,3444
762500,2998
686400,2802
716100,2494
888400,3695
791700,2961
767200,2974
702800,2861
796100,3354
755800,3094
668400,2298
919800,2766
700100,2384
1010700,3947
846200,3563
779000,2854
693400,3238
847600,3450
715300,2851
647700,1960
658300,2471
667700,2752
707400,2498
717900,2551
671500,2424
686100,2366
674000,2745
842200,3301
758100,2894
764300,3163
721600,2847
780600,3138
646900,2440
689300,2856
812200,3281
678400,2592
759600,2946
715900,2799
619200,2714
728000,2935
823100,3068
820100,3370
848100,3575
977900,4527
815100,3403
782300,3070
700500,2885
809800,3122
831800,3788
652800,2013
613400,2482
626400,2386
670600,2574
694100,2619
773500,2919
830800,3530
714800,2708
674100,2522
666400,2202
723100,2657
802300,3278
669700,2210
680200,2819
676400,2548
586600,2088
640800,2458
699000,2742
799600,3473
798500,3168
652300,2412
693700,2533
702200,2708
661200,2505
781000,3160
710800,2386
735200,2708
773500,2981
761600,2991
689500,1820
649300,2392
795300,2831
1012900,4210
768700,2908
651600,2787
697800,2911
581800,2556
747100,3120
773200,3642
829100,3512
852000,3254
741500,2798
971300,3849
860000,3458
697900,2420
663300,2527
804300,3400
660700,2088
628600,2324
658000,2879
727200,2888
780700,3000
799700,3207
884900,3460
806500,3115
794900,3541
714000,3012
999800,3919
803800,2964
850800,3610
639900,2878
683200,2888
675800,2617
806400,3134
706200,2877
781400,3034
701200,2838
796300,3184
777100,3140
698800,2835
654500,2798
574100,1668
816100,3184
536400,1580
714900,2261
684400,2417
668200,2574
681100,2227
710200,2630
704100,2625
624100,2101
1030700,4859
924500,3806
752200,2982
823800,3364
892500,3741
827500,3434
681300,2105
983500,3808
687500,2306
829700,3647
898200,4146
716000,3152
715100,3052
690100,2688
587000,1904
633400,3748
515500,1701
570900,2310
706800,3006
734000,3071
713200,2503
657800,2386
662100,2232
639400,2409
699500,2646
680200,2264
477700,1867
492300,1924
480400,1610
578000,1734
574400,1942
802200,3125
672000,2706
682600,2632
1001800,3970
849000,3220
684800,2791
706000,2749
707300,2836
643000,1913
714700,2542
574700,1761
712400,3120
509900,1824
476200,1636
591300,2207
774600,3066
657900,2444
741900,2942
705200,2692
556800,2686
675300,2544
678500,2532
713700,2769
394600,1697
359300,1510
363600,1600
369700,1600
363000,1600
360900,1600
418100,2000
396500,2060
367400,1600
437800,1264
544900,2145
559200,2474
613500,2418
478000,1700
470100,1724
630900,2181
423300,1279
485800,1668
465600,1596
460500,1470
451000,1394
447800,1575
555700,2562
456700,1755
533200,1879
457800,1522
523300,1860
529700,1979
481400,1765
456300,1436
488800,1474
517300,1586
1061200,4904
498000,2106
507800,1904
494100,2164
496000,1903
503600,2034
555700,2058
1040900,4857
750100,2928
550700,1956
687900,2672
660500,2744
631400,2352
786800,3058
734600,3007
694600,2421
812100,3783
621300,2344
598300,2097
820100,3749
773500,3142
676600,2728
685400,2959
783000,3048
601800,2473
821000,3616
678100,2989
554800,1800
707500,3689
755200,3156
663100,2564
811300,3100
979300,3806
869700,3685
910200,3972
628300,2558
614400,2464
490800,1674
559600,1897
570000,2174
513700,1756
623900,3600
447100,1790
412100,1662
520900,2289
492700,2191
585600,3073
569600,2155
465700,1608
589500,2636
464800,1536
587500,2460
497500,2074
513400,2339
492400,2022
620100,3028
489300,1789
434000,1789
439600,1781
533100,3132
633400,2970
438500,2790
401400,2168
384400,1958
523000,3366
735700,2727
558100,2187
562900,3210
489000,1480
564900,2722
542900,2426
512400,2331
740300,2873
754600,4549
665000,2872
538700,2088
570400,2578
622300,2597
543500,2100
639400,2560
571900,2148
596700,2386
636500,2859
626900,2832
571800,2715
553100,1938
514900,1920
762100,2936
576500,2072
585800,2250
647200,3039
574200,2400
613600,2182
682700,2540
766400,3108
772100,3236
663700,2954
666500,3028
637600,2479
569200,2198
615900,2385
683600,2657
597500,2494
535000,2246
589200,2238
496600,1920
563400,2238
560600,2112
624400,2293
691100,2931
611700,2867
641400,2281
502600,1733
571900,2502
638500,2877
685100,2829
640900,2677
749500,3021
513700,1533
633400,2715
632000,2470
638000,2178
594200,2052
601000,2133
750100,3256
734100,3262
620000,2582
755100,2947
692900,3230
647000,2834
634700,2872
633600,2501
612300,2710
557400,2086
596300,2162
597400,2593
593400,2270
687600,2488
586400,2212
489700,1783
512000,2000
432200,1343
593500,2571
488900,1644
700900,2650
566100,2523
703000,3354
574800,2574
684400,2750
760900,3356
564000,2837
547400,1973
658700,2936
637600,3017
677500,2938
589700,2382
705000,3128
567300,2060
520900,1782
694600,3159
630100,2752
672300,2716
724900,2938
773900,3345
738400,3176
676500,2698
545500,2120
521700,2012
607100,2190
702400,2901
730400,2944
483600,1948
557800,1886
602800,2640
529700,1949
498300,1536
532000,1740
537600,2021
518700,1908
521700,1867
545800,2375
550300,2155
463400,1704
479000,1768
580600,2020
631400,2470
665200,2840
635300,2458
559000,2278
816600,3784
656900,2980
587500,2292
561100,2127
644000,2694
563400,2162
593400,2166
612100,2162
547100,2012
632800,2594
617100,2254
562000,2205
550200,2010
533400,1801
537000,2220
564500,2298
561700,1824
568300,2306
570500,2202
521600,1752
576000,2748
577100,2412
572900,2423
401600,1511
390200,1511
659800,3222
582100,2797
927200,4454
473000,2561
663100,2928
433600,1784
1074800,4404
688400,2843
838500,3506
600800,2515
725300,3262
530400,2415
415100,1920
612100,2639
550000,2196
694300,3475
511200,2246
597200,2070
736500,2534
505100,1922
601700,2406
497000,1912
664300,2524
925200,4041
521900,2268
1075300,3978
670400,2307
672300,3083
527600,2156
547800,2332
537700,2118
508100,1860
554400,2428
462200,1855
411800,1613
341700,1210
309800,1456
318900,1221
355500,1748
345800,1380
523600,2418
383500,1608
352300,1608
459600,1856
469300,2129
595600,2724
336300,1460
403100,1338
456200,1842
501400,2142
501900,1688
503600,2011
483700,1954
502600,2029
503600,1962
492000,1851
475700,1800
462900,1800
433200,1692
380000,1461
393200,1586
413000,1884
362100,1152
356200,1187
531500,1819
507700,2546
413400,1776
467000,2064
512300,2263
473800,1827
475100,1774
422000,1532
483800,1838
521500,2198
519800,2177
537000,2214
490400,2031
525900,2320
436300,1703
492400,1866
478700,1925
527600,2231
503700,2208
506200,1774
484800,2016
506300,1840
508200,1939
497400,1952
416500,1485
477400,1914
480600,1891
465600,1900
528900,2115
438700,1556
455400,1683
439000,1690
539800,2313
674300,2754
625200,2638
927600,3913
564800,2097
494000,1845
682100,2937
549000,2351
500900,2106
601200,2470
638300,2448
483000,1547
564400,2174
563600,2249
520300,1828
441200,1672
490500,1588
540200,1928
631700,2661
591100,2278
665100,2830
597700,2654
677800,2841
581300,2116
544200,1926
536000,1908
687000,3130
562600,2589
660700,2743
664500,2522
647700,2861
576800,2580
778100,3458
531900,1906
472900,1862
571700,2544
549900,2152
486100,1701
560200,2300
481500,1571
583000,2006
517900,1849
525100,2043
469600,1766
486100,1655
504800,1887
498700,1995
625100,2478
541800,1944
607900,2241
622900,2457
550100,2088
508500,1690
690000,2989
642600,2726
713900,2820
740600,2937
562400,2337
628700,2596
782400,3719
640400,2706
839200,3728
760200,3161
632700,2760
759300,3524
539300,2230
743900,3488
389700,1132
381000,1200
527100,2050
576800,2526
603900,2465
591300,2662
547500,2136
587900,2393
685400,2982
395700,1984
374000,1740
355000,1345
361600,1519
374000,1604
366700,1572
337000,994
432300,1908
362700,1476
319900,903
481600,2025
316500,1017
383100,1543
348000,1067
357900,1543
423100,2096
387400,1879
373100,1578
434800,2036
378400,1543
441300,1913
394100,1742
538500,1965
512000,1821
525400,1954
490800,1866
